labels,total_revenue,total_orders,avg_order_value,avg_delivery_time_days,late_delivery_rate,avg_freight_per_order,avg_processing_time_days,avg_review_score,review_count
0,2473.95,16.7,198.24,8.46,0.08,26.78,3.24,4.18,16.68
1,44132.61,358.59,140.95,9.48,0.08,21.84,2.78,4.12,358.53
